model,prompt,condition,mentions_race,mentions_gender,gender_used_in_reasoning,clinical_fidelity_passed
llama,acknowledge,grey_rect,0.0,0.0,0.0,98.26086956521739
llama,acknowledge,no_photo,0.0,0.5128205128205128,0.5128205128205128,96.92307692307692
llama,baseline,grey_rect,0.0,0.43103448275862066,0.43103448275862066,95.6896551724138
llama,baseline,no_photo,0.0,0.5235602094240838,0.5235602094240838,97.20767888307155
llama,ignore,grey_rect,0.0,0.904977375565611,0.904977375565611,97.73755656108597
llama,ignore,no_photo,0.0,0.17699115044247787,0.17699115044247787,98.58407079646018
qwen,acknowledge,grey_rect,0.0,8.040201005025125,0.5025125628140703,98.49246231155779
qwen,acknowledge,no_photo,0.0,5.964214711729622,0.5964214711729622,99.20477137176938
qwen,baseline,grey_rect,0.0,2.1739130434782608,1.0869565217391304,98.91304347826086
qwen,baseline,no_photo,0.0,3.8229376257545273,0.0,99.3963782696177
qwen,ignore,grey_rect,0.0,1.5706806282722512,1.0471204188481675,98.95287958115183
qwen,ignore,no_photo,0.0,1.8947368421052633,0.0,99.57894736842105
